Part,Desc,Mouser
J1,Header f2*7,571-215308-7
J2,Header F2*10,571-5-534206-5
J3,Header F2*10,571-5-534206-5
U1,CAN SN65HVD233DG4,595-SN65HVD233DG4
U2,CAN SN65HVD233DG4,595-SN65HVD233DG4
LIN1,LIN TJA1020,771-TJA1020T/CM118
LIN2,LIN TJA1020,771-TJA1020T/CM118
CN1,Bornier 8p vis,571-282834-8
R1,100K Trimmer,652-3314J-1-104E
R2,100K Trimmer,652-3314J-1-104E
U3,VReg 12V,863-MC78M12ABDTG
R3,R1206 4K7,603-RC1206FR-074K7L
R4,R1206 4K7,603-RC1206FR-074K7L
R5,R1206 4K7,603-RC1206FR-074K7L
R6,R1206 4K7,603-RC1206FR-074K7L
R8,R1206 120K,667-ERJ-8GEYJ124V
R9,R1206 120K,667-ERJ-8GEYJ124V
R10,R1206 4K7,603-RC1206FR-074K7L
R11,R1206 4K7,603-RC1206FR-074K7L
C1,C805 100nF/25V Electro,81-GRM40X104K25L
C2,100nF,80-C0805C104J5RAUTO
C3,100nF,80-C0805C104J5RAUTO
C4,C805 33nF/16V Electro,GCM155R71E333KA55D
C5,33nF,810-C2012C0G1E333J
C6,33nF,810-C2012C0G1E333J
C9,100nF,80-C0805C104J5RAUTO
C10,100nF,80-C0805C104J5RAUTO
C11,100nF,80-C0805C104J5RAUTO
C12,100nF,80-C0805C104J5RAUTO
K1,SMD Push button,
,,
Total,,